,chestcircumference,waistcircumference,weightkg,stature,t_shirt_size
770,1004,1031,875,1760,4
771,1052,930,788,1669,4
772,1073,976,844,1602,4
773,910,916,667,1611,3
774,1057,927,749,1607,4
775,1043,1032,827,1582,4
776,902,925,695,1636,3
777,909,889,697,1702,3
778,783,708,528,1591,1
779,1036,925,785,1724,4
780,965,833,669,1657,3
781,830,827,556,1591,2
782,1077,1042,840,1630,4
783,945,961,831,1730,3
784,943,866,735,1695,3
785,948,911,763,1598,3
786,953,875,637,1606,3
787,975,906,700,1644,3
788,923,835,626,1575,3
789,881,787,607,1642,2
790,986,943,705,1615,3
791,988,913,689,1570,3
792,896,778,633,1607,2
793,823,722,564,1626,2
794,935,843,729,1729,3
795,932,782,618,1501,3
796,883,791,618,1657,2
797,813,761,546,1614,2
798,954,853,686,1660,3
799,884,725,641,1675,2
800,865,779,635,1638,2
801,869,834,634,1584,2
802,927,800,684,1680,3
803,896,835,680,1667,2
804,946,825,751,1758,3
805,950,962,851,1688,3
806,895,823,582,1636,2
807,910,846,709,1607,3
808,876,959,664,1594,3
809,962,907,757,1694,3
810,910,807,632,1606,2
811,863,853,674,1687,3
812,896,753,602,1574,2
813,898,839,616,1603,3
814,921,762,584,1559,3
815,914,861,717,1659,3
816,920,845,606,1614,3
817,869,818,648,1630,2
818,860,760,478,1435,2
819,951,885,751,1672,3
820,936,872,739,1708,3
821,1017,887,686,1676,3
822,844,788,620,1609,2
823,1000,937,740,1590,3
824,832,798,598,1629,2
825,888,826,645,1598,2
826,895,761,563,1560,2
827,919,822,686,1688,2
828,906,803,696,1745,2
829,865,791,631,1673,2
830,950,846,729,1662,3
831,906,762,548,1576,2
832,908,860,650,1720,3
833,906,867,700,1701,3
834,815,793,580,1620,2
835,952,928,738,1670,3
836,775,672,478,1630,1
837,815,785,583,1636,2
838,956,916,849,1714,3
839,927,854,732,1702,3
840,855,778,609,1590,2
841,900,771,654,1643,2
842,946,897,832,1769,3
843,882,822,591,1549,2
844,973,935,695,1533,3
845,848,828,609,1592,2
846,903,841,650,1609,3
847,815,754,550,1569,2
848,883,865,659,1586,3
849,902,827,701,1574,2
850,930,887,689,1617,3
851,866,836,607,1589,2
852,931,917,736,1679,3
853,826,739,564,1700,2
854,847,779,566,1623,2
855,857,775,681,1677,2
856,920,860,660,1598,3
857,784,700,536,1625,1
858,840,812,647,1685,2
859,1025,908,776,1685,3
860,794,733,563,1623,2
861,945,904,675,1674,3
862,890,814,604,1653,2
863,957,872,542,1587,3
864,1008,980,664,1595,4
865,998,1046,744,1563,4
866,909,841,621,1674,3
867,982,824,585,1439,3
868,1018,955,810,1718,3
869,796,717,511,1589,2
870,1112,964,717,1645,4
871,913,758,607,1677,2
872,884,829,591,1552,2
873,1073,999,636,1523,4
874,1012,941,715,1612,3
875,917,776,574,1642,2
876,979,822,716,1732,3
877,877,752,540,1600,2
878,824,716,426,1409,2
879,889,759,585,1620,2
