,stature,weightkg,t_shirt_size
629,1522,667,3
630,1760,783,3
631,1505,518,2
632,1708,663,2
633,1659,655,3
634,1613,690,3
635,1666,680,3
636,1565,609,3
637,1578,646,2
638,1480,540,2
639,1636,530,2
640,1608,789,3
641,1552,431,2
642,1559,746,3
643,1595,712,4
644,1674,727,3
645,1661,613,2
646,1550,574,2
647,1597,655,2
648,1543,577,2
649,1636,585,2
650,1563,627,3
651,1506,535,2
652,1689,652,2
653,1600,702,3
654,1827,931,4
655,1594,532,2
656,1768,735,3
657,1658,557,2
658,1629,655,3
659,1672,691,3
660,1783,965,3
661,1571,702,4
662,1525,523,2
663,1595,660,3
664,1708,814,3
665,1818,952,4
666,1688,658,2
667,1568,503,1
668,1555,547,2
669,1645,688,3
670,1631,604,2
671,1563,669,3
672,1566,599,3
673,1585,616,3
674,1518,548,2
675,1590,604,2
676,1462,519,2
677,1599,640,3
678,1665,669,2
679,1712,791,3
680,1634,598,2
681,1628,736,3
682,1625,825,4
683,1718,756,3
684,1604,595,2
685,1748,863,4
686,1650,686,3
687,1679,763,3
688,1635,725,3
689,1673,639,2
690,1643,559,2
691,1691,764,3
692,1672,699,3
693,1638,630,2
694,1676,606,2
695,1655,680,3
696,1675,654,2
697,1508,538,2
698,1679,731,3
699,1692,766,3
700,1631,577,2
701,1533,598,2
702,1563,686,3
703,1655,708,2
704,1496,488,1
705,1777,766,3
706,1546,583,2
707,1685,685,3
708,1608,585,2
709,1632,719,3
710,1690,649,2
711,1655,583,2
712,1574,648,3
713,1659,564,2
714,1541,478,2
715,1675,591,2
716,1652,665,3
717,1593,649,3
718,1565,512,2
719,1530,496,2
720,1600,744,3
721,1615,680,3
722,1557,506,2
723,1679,591,2
724,1662,712,3
725,1696,844,4
726,1657,547,2
727,1495,487,2
728,1644,612,3
729,1652,722,3
730,1566,567,3
731,1653,688,3
732,1604,542,2
733,1594,611,2
734,1627,672,3
735,1729,749,3
736,1602,585,2
737,1615,605,3
738,1645,601,2
739,1623,621,2
740,1595,609,2
741,1480,470,1
742,1696,786,3
743,1680,725,3
744,1590,516,2
745,1529,501,1
746,1551,626,3
747,1709,787,3
748,1589,572,3
749,1616,670,2
750,1643,535,2
751,1587,638,2
752,1691,752,2
753,1558,519,2
754,1611,602,2
755,1724,701,3
756,1623,782,3
757,1686,611,2
758,1587,631,3
759,1546,540,2
760,1682,619,2
761,1519,577,2
762,1631,673,2
763,1525,608,2
764,1657,905,4
765,1653,682,3
766,1447,683,3
767,1615,778,4
768,1732,648,3
769,1733,1082,5
770,1760,875,4
771,1669,788,4
772,1602,844,4
773,1611,667,3
774,1607,749,4
775,1582,827,4
776,1636,695,3
777,1702,697,3
778,1591,528,1
779,1724,785,4
780,1657,669,3
781,1591,556,2
782,1630,840,4
783,1730,831,3
784,1695,735,3
785,1598,763,3
786,1606,637,3
787,1644,700,3
788,1575,626,3
789,1642,607,2
790,1615,705,3
791,1570,689,3
792,1607,633,2
793,1626,564,2
794,1729,729,3
795,1501,618,3
796,1657,618,2
797,1614,546,2
798,1660,686,3
799,1675,641,2
800,1638,635,2
801,1584,634,2
802,1680,684,3
803,1667,680,2
804,1758,751,3
805,1688,851,3
806,1636,582,2
807,1607,709,3
808,1594,664,3
809,1694,757,3
810,1606,632,2
811,1687,674,3
812,1574,602,2
813,1603,616,3
814,1559,584,3
815,1659,717,3
816,1614,606,3
817,1630,648,2
818,1435,478,2
819,1672,751,3
820,1708,739,3
821,1676,686,3
822,1609,620,2
823,1590,740,3
824,1629,598,2
825,1598,645,2
826,1560,563,2
827,1688,686,2
828,1745,696,2
829,1673,631,2
830,1662,729,3
831,1576,548,2
832,1720,650,3
833,1701,700,3
834,1620,580,2
835,1670,738,3
836,1630,478,1
837,1636,583,2
838,1714,849,3
839,1702,732,3
840,1590,609,2
841,1643,654,2
842,1769,832,3
843,1549,591,2
844,1533,695,3
845,1592,609,2
846,1609,650,3
847,1569,550,2
848,1586,659,3
849,1574,701,2
850,1617,689,3
851,1589,607,2
852,1679,736,3
853,1700,564,2
854,1623,566,2
855,1677,681,2
856,1598,660,3
857,1625,536,1
858,1685,647,2
859,1685,776,3
860,1623,563,2
861,1674,675,3
862,1653,604,2
863,1587,542,3
864,1595,664,4
865,1563,744,4
866,1674,621,3
867,1439,585,3
868,1718,810,3
869,1589,511,2
870,1645,717,4
871,1677,607,2
872,1552,591,2
873,1523,636,4
874,1612,715,3
875,1642,574,2
876,1732,716,3
877,1600,540,2
878,1409,426,2
879,1620,585,2
880,1746,828,3
881,1688,740,3
882,1606,765,3
883,1658,852,4
884,1590,671,3
885,1781,760,3
886,1690,695,3
887,1654,754,4
888,1583,663,3
889,1523,480,2
890,1685,830,4
891,1672,756,3
892,1641,784,4
893,1644,594,2
894,1597,766,3
895,1732,678,2
896,1529,517,2
897,1620,662,3
898,1643,665,3
899,1556,613,3
900,1630,729,4
901,1614,701,3
902,1464,426,1
903,1749,729,3
904,1618,761,3
905,1631,719,4
906,1704,794,3
907,1669,705,3
908,1586,727,4
909,1602,609,2
910,1620,800,4
911,1575,625,2
912,1513,768,4
913,1573,578,2
914,1649,639,2
915,1657,749,3
916,1538,650,3
917,1684,633,2
918,1550,526,2
919,1630,766,4
920,1693,934,5
921,1557,667,3
922,1627,622,2
923,1666,942,5
924,1599,641,3
925,1547,692,4
926,1636,646,3
927,1547,525,2
928,1629,490,2
929,1560,749,3
930,1751,852,4
931,1625,772,4
932,1573,643,3
933,1599,722,3
934,1547,693,3
935,1735,737,3
936,1670,725,3
937,1678,816,4
938,1604,570,2
939,1631,660,3
940,1684,804,4
941,1715,852,4
942,1635,662,4
943,1666,706,3
944,1705,577,2
945,1629,526,2
946,1718,808,4
947,1626,834,3
